SEASON,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,AST_PCT,AST_PCT_RANK,AST_RATIO,AST_RATIO_RANK,AST_TO,AST_TO_RANK,DEF_RATING,DEF_RATING_RANK,DREB_PCT,DREB_PCT_RANK,EFG_PCT,EFG_PCT_RANK,E_DEF_RATING,E_DEF_RATING_RANK,E_NET_RATING,E_NET_RATING_RANK,E_OFF_RATING,E_OFF_RATING_RANK,E_PACE,E_PACE_RANK,E_TOV_PCT,E_TOV_PCT_RANK,E_USG_PCT,E_USG_PCT_RANK,FGA_PG,FGA_PG_RANK,FGM_PG,FGM_PG_RANK,NET_RATING,NET_RATING_RANK,OFF_RATING,OFF_RATING_RANK,OREB_PCT,OREB_PCT_RANK,PACE,PACE_PER40,PACE_RANK,PIE,PIE_RANK,POSS,REB_PCT,REB_PCT_RANK,TM_TOV_PCT,TM_TOV_PCT_RANK,TS_PCT,TS_PCT_RANK,USG_PCT,USG_PCT_RANK,sp_work_DEF_RATING,sp_work_DEF_RATING_RANK,sp_work_NET_RATING,sp_work_NET_RATING_RANK,sp_work_OFF_RATING,sp_work_OFF_RATING_RANK,sp_work_PACE,sp_work_PACE_RANK,Conference,PlayoffRank,WINS,LOSSES,WinPCT
2011-12,201985,AJ Price,AJ,1610612754,IND,25.0,44,27,17,0.614,12.9,1.3,4.0,0.339,0.6,2.0,0.295,0.6,0.8,0.8,0.3,1.1,1.4,2.0,0.7,0.5,0.0,0.1,0.7,0.7,3.9,0.8,9.3,0,0,8.8,269,164,303,122,369,361,328,431,177,169,224,318,337,138,381,399,411,162,336,303,416,422,440,362,341,157,350,203,14,347,1,0.264,57,28.0,46,2.69,29,97.7,94,0.092,316,0.414,388,98.7,118,0.4,204,99.1,285,92.93,294,10.4,188,0.175,269,4.0,328,1.3,361,1.2,191,98.9,294,0.021,336,93.5,77.92,246,0.095,187,1118,0.054,349,10.4,190,0.454,386,0.171,270,97.7,94,1.2,191,98.9,294,93.5,246,East,3,42,24,0.636
2011-12,201189,Aaron Gray,Aaron,1610612761,TOR,27.0,49,17,32,0.347,16.6,1.7,3.3,0.516,0.0,0.0,0.0,0.5,1.0,0.532,1.7,4.0,5.7,0.6,1.0,0.4,0.3,0.3,2.6,0.8,3.9,-3.1,13.0,2,0,11.8,235,293,79,374,295,321,361,58,341,401,341,354,319,411,81,77,76,356,245,312,205,283,53,343,342,403,281,125,14,287,1,0.055,369,10.4,307,0.53,404,106.5,391,0.265,5,0.516,109,105.6,370,-8.0,372,97.7,335,90.41,439,19.6,446,0.137,392,3.3,361,1.7,321,-10.0,399,96.4,356,0.105,43,90.64,75.53,426,0.078,282,1535,0.183,5,19.6,445,0.526,193,0.134,397,106.5,391,-10.0,399,96.4,356,90.64,426,East,11,23,43,0.348
2011-12,1733,Al Harrington,Al,1610612743,DEN,32.0,64,36,28,0.563,27.5,5.4,12.1,0.446,1.6,4.7,0.333,1.9,2.8,0.676,1.1,5.0,6.1,1.4,1.8,0.9,0.2,0.8,2.8,2.2,14.2,2.6,25.1,9,0,25.5,62,65,136,182,121,61,58,190,38,21,157,123,101,313,156,45,69,210,103,113,296,56,29,115,66,81,89,54,14,77,1,0.083,274,8.4,362,0.79,347,102.5,265,0.181,76,0.512,120,101.9,242,4.8,106,106.7,53,96.56,59,10.7,207,0.245,61,12.1,58,5.4,61,5.0,99,107.5,50,0.042,218,95.95,79.96,79,0.104,137,3516,0.113,133,10.6,206,0.535,170,0.241,58,102.5,265,5.0,99,107.5,50,95.95,79,West,6,38,28,0.576
2011-12,201143,Al Horford,Al,1610612737,ATL,26.0,11,7,4,0.636,31.6,5.2,9.4,0.553,0.0,0.1,0.0,2.0,2.7,0.733,2.4,4.6,7.0,2.2,1.5,0.9,1.3,0.6,1.9,2.5,12.4,4.7,29.1,2,0,25.9,428,390,436,86,65,66,126,26,341,339,341,113,105,254,39,54,46,131,148,110,33,97,215,94,99,23,66,125,14,72,1,0.113,208,15.6,185,1.5,179,100.3,166,0.156,131,0.553,43,99.3,144,6.8,60,106.1,64,91.56,397,10.2,177,0.178,262,9.4,126,5.2,66,8.3,34,108.6,31,0.077,112,90.07,75.06,453,0.13,49,652,0.116,121,10.4,187,0.585,41,0.174,261,100.3,166,8.3,34,108.6,31,90.07,453,East,5,40,26,0.606
2011-12,2744,Al Jefferson,Al,1610612762,UTA,27.0,61,32,29,0.525,34.0,8.5,17.2,0.492,0.0,0.1,0.25,2.2,2.9,0.774,2.2,7.4,9.6,2.2,1.0,0.8,1.7,1.0,2.5,2.3,19.2,2.6,40.2,31,0,35.8,120,117,126,222,37,9,10,99,336,349,264,89,91,202,45,7,13,127,256,157,14,25,61,103,21,79,10,7,14,16,1,0.113,205,10.1,316,2.16,66,104.8,345,0.223,18,0.493,185,104.4,338,3.1,136,107.5,42,93.54,237,4.7,12,0.261,37,17.2,10,8.5,9,4.1,119,108.8,28,0.067,143,92.81,77.34,305,0.154,12,4010,0.146,48,4.7,12,0.52,217,0.258,33,104.8,345,4.1,119,108.8,28,92.81,305,West,8,36,30,0.545
2011-12,202329,Al-Farouq Aminu,Al-Farouq,1610612740,NOH,21.0,66,21,45,0.318,22.4,2.3,5.5,0.411,0.2,0.7,0.277,1.3,1.7,0.754,1.4,3.2,4.7,1.0,1.4,0.9,0.5,0.6,2.1,1.6,6.0,-0.5,16.0,2,0,14.7,1,234,12,406,217,262,254,301,261,272,245,186,196,229,114,126,120,264,159,118,140,121,178,198,255,246,228,125,14,231,1,0.074,308,11.5,274,0.73,360,98.9,122,0.148,153,0.429,367,98.9,126,-0.2,216,98.7,299,90.02,450,15.9,410,0.163,311,5.5,254,2.3,262,-0.2,218,98.6,303,0.07,134,90.12,75.1,449,0.075,301,2759,0.11,145,15.9,411,0.481,338,0.159,309,98.9,122,-0.2,218,98.6,303,90.12,449,West,15,21,45,0.318
2011-12,101187,Alan Anderson,Alan,1610612761,TOR,29.0,17,7,10,0.412,27.1,3.2,8.4,0.387,1.4,3.6,0.393,1.7,2.0,0.853,0.5,1.5,2.0,1.5,1.5,0.3,0.2,0.4,2.1,1.9,9.6,-1.5,14.2,0,0,15.5,403,390,386,318,130,192,162,361,60,68,50,137,161,65,311,338,344,195,143,392,308,215,179,151,163,311,254,203,14,221,1,0.1,232,12.6,252,1.04,277,99.0,125,0.057,448,0.472,247,98.7,119,-1.6,248,97.1,349,89.42,461,12.0,278,0.191,212,8.4,162,3.2,192,-2.7,281,96.3,362,0.018,355,89.7,74.75,461,0.052,393,860,0.038,438,12.1,282,0.519,218,0.186,212,99.0,125,-2.7,281,96.3,362,89.7,461,East,11,23,43,0.348
2011-12,202692,Alec Burks,Alec,1610612762,UTA,20.0,59,33,26,0.559,15.9,2.6,6.1,0.429,0.3,0.8,0.333,1.8,2.4,0.727,1.0,1.3,2.2,0.9,0.9,0.5,0.1,0.6,1.4,1.7,7.2,-0.4,12.0,0,0,11.7,146,103,158,186,306,233,234,249,244,264,157,131,129,258,177,369,318,275,298,302,388,119,316,173,224,240,299,203,14,289,1,0.1,230,10.5,299,1.08,270,103.7,314,0.081,371,0.45,324,104.0,326,-2.3,268,101.7,208,93.86,216,9.7,147,0.218,119,6.1,234,2.6,233,-1.9,261,101.7,212,0.059,167,93.96,78.3,210,0.081,272,1843,0.069,271,9.8,151,0.506,259,0.212,126,103.7,314,-1.9,261,101.7,212,93.96,210,West,8,36,30,0.545
2011-12,202087,Alonzo Gee,Alonzo,1610612739,CLE,25.0,63,20,43,0.317,29.0,3.6,8.7,0.412,0.7,2.2,0.321,2.7,3.4,0.788,1.6,3.5,5.1,1.8,1.8,1.3,0.3,0.9,2.4,2.2,10.6,-3.4,22.3,2,0,21.3,87,251,20,409,99,167,147,295,160,158,183,68,71,174,92,104,98,172,95,41,247,37,89,112,138,412,127,125,14,129,1,0.109,216,13.0,245,0.99,295,105.6,371,0.123,219,0.452,320,104.4,340,-6.1,341,98.3,315,94.05,199,13.1,334,0.187,227,8.7,147,3.6,167,-5.9,344,99.7,277,0.053,181,92.88,77.4,297,0.089,224,3533,0.087,205,13.1,338,0.516,227,0.184,224,105.6,371,-5.9,344,99.7,277,92.88,297,East,13,21,45,0.318
2011-12,2405,Amar'e Stoudemire,Amar'e,1610612752,NYK,29.0,47,22,25,0.468,32.8,6.7,13.9,0.483,0.1,0.4,0.238,4.0,5.2,0.765,2.3,5.6,7.8,1.1,2.4,0.8,1.0,1.3,2.9,4.1,17.5,-0.9,31.5,16,0,30.1,250,217,172,287,55,33,36,112,292,297,281,30,25,218,43,29,34,249,38,146,55,7,17,30,33,274,44,28,14,43,1,0.063,341,5.6,427,0.46,423,101.8,236,0.176,90,0.487,203,100.9,198,-2.8,279,98.1,322,96.1,83,12.1,286,0.251,50,13.9,36,6.7,33,-1.9,260,99.9,271,0.069,137,94.8,79.0,151,0.124,64,3055,0.121,103,12.2,287,0.541,146,0.248,49,101.8,236,-1.9,260,99.9,271,94.8,151,East,7,36,30,0.545
