YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2025,ALL-NBA,1,203507,Giannis Antetokounmpo,1.0
2025,ALL-NBA,1,1628983,Shai Gilgeous-Alexander,1.0
2025,ALL-NBA,1,203999,Nikola Jokić,1.0
2025,ALL-NBA,1,1628369,Jayson Tatum,1.0
2025,ALL-NBA,1,1628378,Donovan Mitchell,0.828
2025,ALL-NBA,2,1630162,Anthony Edwards,0.636
2025,ALL-NBA,2,2544,LeBron James,0.578
2025,ALL-NBA,2,201939,Stephen Curry,0.488
2025,ALL-NBA,2,1630596,Evan Mobley,0.476
2025,ALL-NBA,2,1628973,Jalen Brunson,0.464
2025,ALL-NBA,3,1630595,Cade Cunningham,0.446
2025,ALL-NBA,3,1626157,Karl-Anthony Towns,0.344
2025,ALL-NBA,3,1630169,Tyrese Haliburton,0.158
2025,ALL-NBA,3,1631114,Jalen Williams,0.146
2025,ALL-NBA,3,201935,James Harden,0.136
2025,ALL-NBA,1000,1630578,Alperen Şengün,0.116
2025,ALL-NBA,1000,1628991,Jaren Jackson Jr.,0.11
2025,ALL-NBA,1000,1627826,Ivica Zubac,0.03
2025,ALL-NBA,1000,1629636,Darius Garland,0.012
2025,ALL-NBA,1000,1627734,Domantas Sabonis,0.008
2025,ALL-NBA,1000,1627783,Pascal Siakam,0.008
2025,ALL-NBA,1000,1628389,Bam Adebayo,0.006
2025,ALL-NBA,1000,1629027,Trae Young,0.006
2025,ALL-NBA,1000,1626164,Devin Booker,0.004
